date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200422,NV,4081,29807,None,None,None,None,None,None,None,None,172,None,33888,33888,33888,9,0,689,144,833
20200421,NV,3937,29118,None,None,None,None,None,None,None,None,163,None,33055,33055,33055,5,0,601,107,708
20200420,NV,3830,28517,None,None,None,None,None,None,None,None,158,None,32347,32347,32347,3,0,647,102,749
20200419,NV,3728,27870,None,None,None,None,None,None,None,None,155,None,31598,31598,31598,4,0,745,102,847
20200418,NV,3626,27125,None,None,None,None,None,None,None,None,151,None,30751,30751,30751,9,0,887,102,989
20200417,NV,3524,26238,None,None,None,None,None,None,None,None,142,None,29762,29762,29762,5,0,1108,203,1311
20200416,NV,3321,25130,None,None,None,None,None,None,None,None,137,None,28451,28451,28451,6,0,686,110,796
20200415,NV,3211,24444,None,None,None,None,None,None,None,None,131,None,27655,27655,27655,11,0,871,123,994
20200414,NV,3088,23573,None,None,None,None,None,None,None,None,120,None,26661,26661,26661,6,0,1080,117,1197
20200413,NV,2971,22493,None,None,None,None,None,None,None,None,114,None,25464,25464,25464,2,0,718,135,853
20200412,NV,2836,21775,None,282,None,None,None,None,None,None,112,None,24611,24611,24611,10,0,888,136,1024
20200411,NV,2700,20887,None,282,None,None,None,None,None,None,102,None,23587,23587,23587,16,0,722,116,838
20200410,NV,2584,20165,None,282,None,None,None,None,None,None,86,None,22749,22749,22749,6,0,850,128,978
20200409,NV,2456,19315,None,282,None,None,None,None,None,None,80,None,21771,21771,21771,9,0,1067,138,1205
20200408,NV,2318,18248,None,282,None,None,None,None,None,None,71,None,20566,20566,20566,13,0,1696,231,1927
20200407,NV,2087,16552,None,282,None,None,None,None,None,None,58,None,18639,18639,18639,12,0,876,134,1010
20200406,NV,1953,15676,None,None,None,None,None,None,None,None,46,None,17629,17629,17629,0,0,681,117,798
20200405,NV,1836,14995,None,None,None,None,None,None,None,None,46,None,16831,16831,16831,0,0,574,94,668
20200404,NV,1742,14421,None,None,None,None,None,None,None,None,46,None,16163,16163,16163,3,0,1403,228,1631
20200403,NV,1514,13018,None,None,None,None,None,None,None,None,43,None,14532,14532,14532,5,0,430,56,486
20200402,NV,1458,12588,None,None,None,None,None,None,None,None,38,None,14046,14046,14046,12,0,1069,179,1248
20200401,NV,1279,11519,None,None,None,None,None,None,None,None,26,None,12798,12798,12798,9,0,838,166,1004
20200331,NV,1113,10681,None,None,None,None,None,None,None,None,17,None,11794,11794,11794,2,0,474,105,579
20200330,NV,1008,10207,None,None,None,None,None,None,None,None,15,None,11215,11215,11215,1,0,1795,270,2065
20200329,NV,738,8412,None,None,None,None,None,None,None,None,14,None,9150,9150,9150,4,0,511,117,628
20200328,NV,621,7901,None,None,None,None,None,None,None,None,10,None,8522,8522,8522,0,0,1740,86,1826
20200327,NV,535,6161,None,None,None,None,None,None,None,None,10,None,6696,6696,6696,0,0,1464,115,1579
20200326,NV,420,4697,None,None,None,None,None,None,None,None,10,None,5117,5117,5117,4,0,446,99,545
20200325,NV,321,4251,None,None,None,None,None,None,None,None,6,None,4572,4572,4572,2,0,297,43,340
20200324,NV,278,3954,None,None,None,None,None,None,None,None,4,None,4232,4232,4232,0,0,464,33,497
20200323,NV,245,3490,None,None,None,None,None,None,None,None,4,None,3735,3735,3735,2,0,1042,55,1097
20200322,NV,190,2448,None,None,None,None,None,None,None,None,2,None,2638,2638,2638,0,0,64,66,130
20200321,NV,124,2384,None,None,None,None,None,None,None,None,2,None,2508,2508,2508,1,0,392,15,407
20200320,NV,109,1992,None,None,None,None,None,None,None,None,1,None,2101,2101,2101,0,0,366,14,380
20200319,NV,95,1626,None,None,None,None,None,None,None,None,1,None,1721,1721,1721,0,0,1458,40,1498
20200318,NV,55,168,None,None,None,None,None,None,None,None,1,None,223,223,223,0,0,0,0,0
20200317,NV,55,168,None,None,None,None,None,None,None,None,1,None,223,223,223,0,0,0,10,10
20200316,NV,45,168,None,None,None,None,None,None,None,None,1,None,213,213,213,1,0,0,24,24
20200315,NV,21,168,164,,,,,,,,,,353,189,189,0,0,0,1,1
20200314,NV,20,168,,,,,,,,,,,188,188,188,0,0,0,9,9
20200313,NV,11,168,,,,,,,,,,,179,179,179,0,0,0,4,4
20200312,NV,7,168,,,,,,,,,,,175,175,175,0,0,0,2,2
20200311,NV,5,168,,,,,,,,,,,173,173,173,0,0,154,4,158
20200310,NV,1,14,,,,,,,,,,,15,15,15,0,0,0,0,0
20200309,NV,1,14,,,,,,,,,,,15,15,15,0,0,0,0,0
20200308,NV,1,14,,,,,,,,,,,15,15,15,0,0,0,0,0
20200307,NV,1,14,,,,,,,,,,,15,15,15,0,0,0,0,0
20200306,NV,1,14,,,,,,,,,,,15,15,15,0,0,0,0,0
20200305,NV,1,14,,,,,,,,,,,15,15,15,None,None,None,None,None
